順位,選手名,チーム,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率
1,荻野　貴司,ロッテ,.296,143,643,570,86,169,33,5,10,242,45,24,11,5,3,53,0,12,70,5,.367,.425
2,鈴木　大地,楽天,.277,143,628,552,70,153,19,3,10,208,53,3,2,13,5,52,0,6,51,12,.343,.377
3,佐野　恵太,DeNA,.303,143,615,545,73,165,34,2,17,254,72,0,1,0,4,61,1,5,73,14,.376,.466
3,中村　奨吾,ロッテ,.283,143,615,506,78,143,36,2,9,210,67,12,7,15,8,76,1,10,90,8,.382,.415
3,村上　宗隆,ヤクルト,.278,143,615,500,82,139,27,0,39,283,112,12,7,0,3,106,6,6,133,12,.408,.566
6,近本　光司,阪神,.313,140,612,569,91,178,33,5,10,251,50,24,7,4,2,33,0,4,58,6,.354,.441
7,島内　宏明,楽天,.257,141,599,486,64,125,34,5,21,232,96,2,2,2,6,97,2,8,87,15,.385,.477
8,栗原　陵矢,ソフトバンク,.275,143,596,531,71,146,32,3,21,247,77,7,2,3,7,53,1,2,90,9,.339,.465
8,大島　洋平,中日,.292,141,596,548,54,160,19,5,1,192,34,16,8,1,2,42,5,3,60,4,.345,.350
10,浅村　栄斗,楽天,.269,143,595,483,70,130,18,1,18,204,67,1,0,0,7,101,5,4,96,24,.395,.422
11,柳田　悠岐,ソフトバンク,.300,141,593,516,95,155,36,2,28,279,80,6,0,0,2,69,8,6,122,6,.388,.541
12,岡本　和真,巨人,.265,143,592,521,71,138,19,1,39,276,113,1,1,0,7,57,4,7,108,16,.341,.530
13,山田　哲人,ヤクルト,.272,137,581,493,84,134,18,0,34,254,101,4,3,0,7,76,0,5,100,10,.370,.515
14,桑原　将志,DeNA,.310,135,571,519,84,161,39,2,14,246,43,12,7,4,0,44,1,4,75,12,.369,.474
15,宮﨑　敏郎,DeNA,.301,141,569,519,61,156,32,0,16,236,73,0,0,0,5,41,3,4,53,15,.353,.455
16,中村　晃,ソフトバンク,.245,139,552,462,49,113,20,2,8,161,56,1,1,11,6,70,3,3,59,8,.344,.348
17,西川　龍馬,広島,.286,137,551,504,57,144,19,1,12,201,60,3,3,4,4,37,1,2,70,14,.335,.399
18,西川　遥輝,日本ハム,.233,130,547,447,68,104,19,5,3,142,35,24,11,3,4,89,1,4,99,3,.362,.318
19,レアード,ロッテ,.262,136,545,485,57,127,18,0,29,232,95,0,1,0,7,50,4,3,109,15,.330,.478
19,近藤　健介,日本ハム,.298,133,545,447,61,133,37,4,11,211,69,4,1,0,6,88,3,4,84,11,.413,.472
21,宗　佑磨,オリックス,.272,139,543,481,71,131,17,7,9,189,42,8,4,14,2,33,1,13,62,15,.335,.393
22,杉本　裕太郎,オリックス,.301,134,542,478,73,144,20,2,32,264,83,3,3,0,3,51,4,10,116,15,.378,.552
22,菊池　涼介,広島,.277,132,542,494,64,137,23,2,16,212,60,1,5,2,3,42,2,1,86,8,.333,.429
24,塩見　泰隆,ヤクルト,.278,140,534,474,80,132,21,7,14,209,59,21,5,2,0,48,1,10,156,1,.357,.441
25,鈴木　誠也,広島,.317,132,533,435,77,138,26,0,38,278,88,9,4,0,5,87,11,6,88,7,.433,.639
26,ビシエド,中日,.275,130,526,480,44,132,23,1,17,208,70,1,2,0,3,35,9,8,56,15,.333,.433
26,マルテ,阪神,.258,128,526,446,55,115,18,1,22,201,71,0,0,0,2,74,3,4,72,16,.367,.451
28,中野　拓夢,阪神,.273,135,525,466,45,127,15,4,1,153,36,30,2,20,4,29,5,6,81,6,.321,.328
29,牧　秀悟,DeNA,.314,137,523,487,73,153,35,3,22,260,71,2,1,1,2,27,1,6,85,16,.356,.534
30,高橋　周平,中日,.259,137,520,475,40,123,27,0,5,165,39,1,0,0,4,40,4,1,79,21,.315,.347
30,森　友哉,西武,.309,125,520,431,70,133,32,2,11,202,41,5,2,1,3,79,3,6,65,4,.420,.469
32,源田　壮亮,西武,.272,119,516,464,60,126,15,7,2,161,29,24,9,17,2,31,0,2,67,5,.319,.347
33,大山　悠輔,阪神,.260,129,512,466,55,121,23,2,21,211,71,2,1,0,7,37,1,2,89,15,.313,.453
34,岡島　豪郎,楽天,.280,126,507,461,40,129,30,4,8,191,56,3,6,5,4,28,1,9,94,9,.331,.414
35,青木　宣親,ヤクルト,.258,122,501,446,57,115,29,0,9,171,56,0,0,0,2,43,1,10,44,10,.335,.383
36,マーティン,ロッテ,.233,116,499,416,66,97,30,0,27,208,75,4,1,0,3,70,3,10,132,9,.355,.500
37,オスナ,ヤクルト,.258,120,495,469,42,121,24,2,13,188,60,3,0,0,2,22,2,2,80,18,.293,.401
38,藤岡　裕大,ロッテ,.255,137,493,432,41,110,21,3,3,146,37,10,3,18,1,40,2,2,95,7,.320,.338
39,糸原　健斗,阪神,.286,125,488,441,34,126,17,3,2,155,30,6,5,1,3,41,0,2,61,9,.347,.351
40,坂本　勇人,巨人,.271,117,487,424,53,115,26,0,19,198,46,2,3,2,2,58,4,1,90,4,.359,.467
41,坂倉　将吾,広島,.315,132,484,422,58,133,24,2,12,197,68,4,3,2,5,51,1,4,60,9,.390,.467
42,小園　海斗,広島,.298,113,481,449,65,134,18,6,5,179,35,4,4,12,4,13,1,3,57,7,.320,.399
43,甲斐　拓也,ソフトバンク,.227,143,479,405,42,92,15,0,12,143,44,6,6,26,2,44,0,2,142,7,.305,.353
44,呉　念庭,西武,.238,130,478,425,43,101,17,0,10,148,48,3,2,4,3,43,1,3,70,3,.310,.348
45,松原　聖弥,巨人,.274,135,477,431,69,118,20,4,12,182,37,15,7,3,3,38,0,2,100,4,.333,.422
46,中村　剛也,西武,.284,123,475,430,50,122,13,0,18,189,74,0,0,0,4,39,3,2,114,12,.343,.440
47,紅林　弘太郎,オリックス,.228,136,473,448,37,102,22,2,10,158,48,2,1,6,4,12,0,3,101,11,.251,.353
48,福田　周平,オリックス,.275,107,471,408,47,112,14,1,1,131,21,9,1,10,2,43,0,8,52,6,.354,.321
49,茂木　栄五郎,楽天,.259,120,466,410,50,106,19,4,14,175,53,6,5,0,2,48,0,6,107,6,.343,.427
50,サンズ,阪神,.248,120,461,408,47,101,21,1,20,184,65,1,1,0,3,49,5,1,89,11,.328,.451
51,梅野　隆太郎,阪神,.225,130,458,404,33,91,15,3,3,121,33,8,4,6,2,41,3,5,107,14,.303,.300
51,淺間　大基,日本ハム,.251,128,458,411,42,103,17,2,5,139,31,8,4,7,4,31,2,5,115,5,.308,.338
53,丸　佳浩,巨人,.265,118,457,392,58,104,21,0,23,194,55,5,3,0,2,63,0,0,120,5,.365,.495
54,佐藤　輝明,阪神,.238,126,455,425,56,101,25,0,24,198,64,6,2,0,2,25,4,3,173,2,.284,.466
54,小深田　大翔,楽天,.248,121,455,391,60,97,10,3,3,122,21,5,5,16,1,44,0,3,65,1,.328,.312
54,吉田　正尚,オリックス,.339,110,455,389,61,132,22,1,21,219,72,0,0,0,3,58,6,5,26,9,.429,.563
57,ソト,DeNA,.234,123,451,410,42,96,18,1,21,179,62,0,1,0,1,35,4,5,116,12,.302,.437
58,京田　陽太,中日,.257,113,448,409,41,105,7,4,3,129,24,6,5,8,3,21,0,7,75,5,.302,.315
59,栗山　巧,西武,.251,117,446,387,33,97,15,0,4,124,43,1,0,0,7,49,1,3,58,11,.334,.320
60,中村　悠平,ヤクルト,.279,123,445,377,47,105,24,0,2,135,36,0,3,14,4,46,0,4,66,10,.360,.358
61,辰己　涼介,楽天,.225,130,443,374,49,84,13,1,10,129,32,6,6,11,1,51,0,6,99,7,.326,.345
62,オースティン,DeNA,.303,107,439,373,60,113,25,1,28,224,74,1,0,0,1,60,2,5,111,9,.405,.601
63,ウィーラー,巨人,.289,121,427,384,44,111,28,0,15,184,56,3,1,0,1,34,3,8,78,16,.358,.479
