順位,選手名,チーム,打率,打数,安打,本塁打,打点,出塁率,長打率,OPS,NOI,GPA,IsoP,IsoD,RC,RC27,XR,XR27,BABIP,SecA,TA
1,榮枝　裕貴,阪神,1.000,1,1,0,1,1.000,1.000,2.000,1.333,.700,.000,.000,0.61,∞,0.50,∞,1.000,.000,∞
2,武岡　龍世,ヤクルト,.412,17,7,0,3,.444,.529,.974,.621,.332,.118,.033,3.76,10.17,3.46,9.34,.500,.118,1.000
3,石岡　諒太,中日,.360,25,9,0,1,.407,.360,.767,.527,.273,.000,.047,3.61,5.12,3.40,4.83,.429,.040,.647
4,栗原　陵矢,ソフトバンク,.353,17,6,2,5,.450,.765,1.215,.705,.394,.412,.097,5.35,13.14,5.12,12.57,.286,.588,1.455
4,松本　友,ヤクルト,.353,17,6,0,0,.421,.412,.833,.558,.292,.059,.068,3.08,7.55,2.87,7.04,.500,.176,.818
6,松本　剛,日本ハム,.347,395,137,3,44,.398,.438,.836,.544,.288,.091,.051,68.84,6.41,64.94,6.05,.368,.213,.815
7,吉田　正尚,オリックス,.335,412,138,21,88,.447,.561,1.008,.634,.341,.226,.112,102.56,9.48,98.33,9.09,.328,.430,1.137
8,原口　文仁,阪神,.324,71,23,2,10,.390,.437,.827,.536,.285,.113,.066,12.75,6.62,12.93,6.71,.313,.239,.816
9,村上　宗隆,ヤクルト,.318,487,155,56,134,.458,.710,1.168,.694,.384,.392,.139,147.89,11.54,141.98,11.08,.327,.645,1.376
10,西川　龍馬,広島,.315,390,123,10,53,.366,.456,.822,.518,.279,.141,.050,62.73,6.07,60.10,5.82,.367,.218,.758
11,大島　洋平,中日,.314,436,137,1,20,.376,.367,.743,.498,.261,.053,.062,64.86,5.70,61.23,5.39,.352,.147,.691
12,野間　峻祥,広島,.312,317,99,0,16,.347,.397,.745,.480,.256,.085,.035,42.37,4.93,39.45,4.59,.369,.142,.636
13,荻野　貴司,ロッテ,.310,326,101,5,27,.375,.436,.811,.520,.278,.126,.065,55.85,6.15,54.61,6.02,.319,.255,.813
14,西田　明央,ヤクルト,.308,13,4,0,1,.308,.308,.615,.410,.215,.000,.000,1.20,3.60,1.16,3.48,.444,.000,.444
15,上本　崇司,広島,.307,261,80,2,18,.376,.372,.748,.500,.262,.065,.069,36.80,4.97,34.75,4.69,.328,.149,.668
16,佐野　恵太,DeNA,.306,526,161,22,72,.362,.490,.853,.526,.286,.184,.056,89.12,6.32,85.73,6.08,.310,.268,.805
17,近藤　健介,日本ハム,.302,325,98,8,41,.418,.462,.879,.572,.303,.160,.116,64.29,7.09,61.99,6.83,.326,.366,.905
18,牧原　大成,ソフトバンク,.301,409,123,6,42,.331,.408,.739,.467,.251,.108,.030,56.07,4.93,54.43,4.79,.340,.169,.664
18,上林　誠知,ソフトバンク,.301,93,28,1,12,.337,.409,.745,.473,.254,.108,.036,13.08,5.19,12.35,4.90,.360,.161,.682
20,宮﨑　敏郎,DeNA,.300,434,130,16,50,.365,.470,.835,.522,.282,.171,.066,70.69,5.93,67.87,5.69,.296,.272,.781
20,滝野　要,中日,.300,10,3,0,0,.300,.300,.600,.400,.210,.000,.000,0.69,2.34,0.71,2.40,.429,.000,.375
22,末包　昇大,広島,.299,77,23,2,14,.300,.442,.742,.447,.245,.143,.001,9.65,4.49,9.90,4.61,.368,.156,.625
