順位,選手名,チーム,防御率,勝利,敗北,セlブ,ホlルド,投球回,被安打,被本塁打,与四死球,奪三振,自責点,WHIP,被安打率,被本打率,奪三振率,与四死率,DIPS,K/BB,HldR,PFR
1,山本　由伸,オリックス,1.39,18,5,0,0,193.2,124,7,42,206,30,0.85,5.76,0.33,9.57,1.95,2.10,5.15,.855,1.27
2,髙橋　光成,西武,3.78,11,9,0,0,173.2,157,23,68,127,73,1.26,8.14,1.19,6.58,3.52,4.55,2.05,.752,1.09
3,柳　裕也,中日,2.20,11,6,0,0,172.0,133,11,44,168,42,1.01,6.96,0.58,8.79,2.30,2.75,4.10,.813,1.22
4,森下　暢仁,広島,2.98,8,7,0,0,163.1,144,16,55,132,54,1.20,7.93,0.88,7.27,3.03,3.73,2.54,.792,1.13
5,上沢　直之,日本ハム,2.81,12,6,0,0,160.1,119,8,52,135,50,1.04,6.68,0.45,7.58,2.92,3.04,2.81,.742,1.14
6,今井　達也,西武,3.30,8,8,0,0,158.1,123,15,110,137,58,1.40,6.99,0.85,7.79,6.25,4.69,1.38,.803,1.49
7,石川　柊太,ソフトバンク,3.40,6,9,0,0,156.1,135,22,68,134,59,1.19,7.77,1.27,7.71,3.91,4.54,2.63,.796,1.18
7,青柳　晃洋,阪神,2.48,13,6,0,0,156.1,143,11,51,104,43,1.22,8.23,0.63,5.99,2.94,3.53,2.17,.825,0.97
9,田中　将大,楽天,3.01,4,9,0,0,155.2,131,17,34,126,52,1.03,7.57,0.98,7.28,1.97,3.58,4.34,.764,1.00
10,戸郷　翔征,巨人,4.27,9,8,0,0,151.2,130,19,64,138,72,1.24,7.71,1.13,8.19,3.80,4.16,2.38,.697,1.29
11,加藤　貴之,日本ハム,3.42,6,7,0,0,150.0,136,13,24,102,57,1.05,8.16,0.78,6.12,1.44,3.35,4.86,.701,0.82
12,松本　航,西武,3.79,10,8,0,0,149.2,137,15,68,130,63,1.34,8.24,0.90,7.82,4.09,4.05,2.03,.747,1.30
13,九里　亜蓮,広島,3.81,13,9,0,0,149.0,150,18,59,102,63,1.35,9.06,1.09,6.16,3.56,4.49,2.00,.764,1.03
13,岸　孝之,楽天,3.44,9,10,0,0,149.0,149,17,35,131,57,1.23,9.00,1.03,7.91,2.11,3.55,3.85,.760,1.11
15,宮城　大弥,オリックス,2.51,13,4,0,0,147.0,118,9,48,131,41,1.07,7.22,0.55,8.02,2.94,3.09,3.36,.796,1.16
16,大瀬良　大地,広島,3.07,10,5,0,0,146.2,136,12,36,102,50,1.14,8.35,0.74,6.26,2.21,3.49,3.29,.763,0.91
17,小島　和哉,ロッテ,3.76,10,4,0,0,146.0,123,16,57,92,61,1.19,7.58,0.99,5.67,3.51,4.44,1.80,.726,0.98
17,伊藤　大海,日本ハム,2.90,10,9,0,0,146.0,125,8,59,141,47,1.22,7.71,0.49,8.69,3.64,3.09,2.66,.778,1.33
19,則本　昂大,楽天,3.17,11,5,0,0,144.2,123,18,38,152,51,1.09,7.65,1.12,9.46,2.36,3.42,4.34,.769,1.29
20,西　勇輝,阪神,3.76,6,9,0,0,143.2,143,12,44,95,60,1.27,8.96,0.75,5.95,2.76,3.68,2.38,.726,0.94
21,小笠原　慎之介,中日,3.64,8,10,0,0,143.1,141,16,55,115,58,1.34,8.85,1.00,7.22,3.45,4.10,2.25,.767,1.16
