date,op_pitcher,team
3/25,●東,vs.広島
3/26,●大貫,vs.広島
3/27,－坂本,vs.広島
3/28,,
3/29,○ロメロ,vs.中日
3/30,○石田,vs.中日
3/31,○濵口,vs.中日
4/1,○上茶谷,vs.ヤクルト
4/2,－大貫,vs.ヤクルト
4/3, ,vs.ヤクルト
4/4,,
4/5,●ロメロ,vs.阪神
4/6,－石田,vs.阪神
4/7, ,vs.阪神
4/8, ,vs.中日
4/9,,
4/10,,
4/11,,
4/12,●ロメロ,vs.巨人
4/13,●東,vs.巨人
4/14,,
4/15,●坂本,vs.ヤクルト
4/16,○上茶谷,vs.ヤクルト
4/17,－大貫,vs.ヤクルト
4/18,,
4/19,－ロメロ,vs.阪神
4/20,－東,vs.阪神
4/21,－坂本,vs.阪神
4/22,●ピープルズ,vs.広島
4/23,●上茶谷,vs.広島
4/24,－大貫,vs.広島
4/25,,
4/26,○ロメロ,vs.巨人
4/27,●坂本,vs.巨人
4/28,●東,vs.巨人
4/29, ,vs.ヤクルト
4/30,●上茶谷,vs.ヤクルト
5/1, ,vs.ヤクルト
5/2,,
5/3,●ロメロ,vs.中日
5/4,○大貫,vs.中日
5/5,－坂本,vs.中日
5/6,－今永,vs.広島
5/7,－上茶谷,vs.広島
5/8,●東,vs.広島
5/9,,
5/10,○ロメロ,vs.巨人
5/11,,
5/12,●大貫,vs.巨人
5/13, ,vs.阪神
5/14,●上茶谷,vs.阪神
5/15,●東,vs.阪神
5/16,,
5/17,○今永,vs.中日
5/18,－ロメロ,vs.中日
5/19,,
5/20,○大貫,vs.ヤクルト
5/21,●上茶谷,vs.ヤクルト
5/22,●有吉,vs.ヤクルト
5/23,,
5/24,－今永,vs.ソフトバンク
5/25,●ロメロ,vs.ソフトバンク
5/26,○濵口,vs.ソフトバンク
5/27,○大貫,vs.西武
5/28,●上茶谷,vs.西武
5/29,－京山,vs.西武
5/30,,
5/31,○今永,vs.オリックス
6/1,●ロメロ,vs.オリックス
6/2,●濵口,vs.オリックス
6/3,○大貫,vs.楽天
6/4,－京山,vs.楽天
6/5,－石田,vs.楽天
6/6,,
6/7,○今永,vs.日本ハム
6/8,●上茶谷,vs.日本ハム
6/9,－濵口,vs.日本ハム
6/10,●大貫,vs.ロッテ
6/11,－京山,vs.ロッテ
6/12,●石田,vs.ロッテ
6/13,,
6/14,,
6/15,,
6/16,,
6/17,●今永,vs.阪神
6/18,●濵口,vs.阪神
6/19,－京山,vs.阪神
6/20,,
6/21,－大貫,vs.巨人
6/22,－石田,vs.巨人
6/23,○東,vs.巨人
6/24,●今永,vs.広島
6/25,●濵口,vs.広島
6/26,－京山,vs.広島
6/27,,
6/28,○大貫,vs.阪神
