date,op_pitcher,team
3/25,○山本,vs.西武
3/26,●宮城,vs.西武
3/27,－山﨑颯,vs.西武
3/28,,
3/29,－田嶋,vs.楽天
3/30,●バルガス,vs.楽天
3/31,－山﨑福,vs.楽天
4/1,○山岡,vs.日本ハム
4/2,○山本,vs.日本ハム
4/3,－宮城,vs.日本ハム
4/4,,
4/5,●山﨑颯,vs.ソフトバンク
4/6,－田嶋,vs.ソフトバンク
4/7,●山﨑福,vs.ソフトバンク
4/8,●山岡,vs.ロッテ
4/9,○山本,vs.ロッテ
4/10,●宮城,vs.ロッテ
4/11,,
4/12,,
4/13,,
4/14,,
4/15,●山﨑福,vs.西武
4/16,○山岡,vs.西武
4/17,－山﨑颯,vs.西武
4/18,,
4/19,●山本,vs.ソフトバンク
4/20,○宮城,vs.ソフトバンク
4/21,－田嶋,vs.ソフトバンク
4/22,●山﨑福,vs.ロッテ
4/23,－山岡,vs.ロッテ
4/24,●山﨑颯,vs.ロッテ
4/25,,
4/26,－山本,vs.日本ハム
4/27,－宮城,vs.日本ハム
4/28,●田嶋,vs.日本ハム
4/29,－ワゲスパック,vs.西武
4/30,－山﨑福,vs.西武
5/1,－山岡,vs.西武
5/2,,
5/3,●山本,vs.ソフトバンク
5/4,－宮城,vs.ソフトバンク
5/5,●ワゲスパック,vs.ソフトバンク
5/6,－田嶋,vs.楽天
5/7,●山﨑福,vs.楽天
5/8,－竹安,vs.楽天
5/9,,
5/10,○山岡,vs.日本ハム
5/11,●ワゲスパック,vs.日本ハム
5/12,,
5/13,●田嶋,vs.ロッテ
5/14,○山本,vs.ロッテ
5/15,○宮城,vs.ロッテ
5/16,,
5/17,－山岡,vs.日本ハム
5/18,●ワゲスパック,vs.日本ハム
5/19,,
5/20,○田嶋,vs.楽天
5/21,○山本,vs.楽天
5/22,○宮城,vs.楽天
5/23,,
5/24,－山岡,vs.巨人
5/25,－ワゲスパック,vs.巨人
5/26,○山﨑福,vs.巨人
5/27,●田嶋,vs.中日
5/28,●山本,vs.中日
5/29,○宮城,vs.中日
5/30,,
5/31,●山岡,vs.DeNA
6/1,○ワゲスパック,vs.DeNA
6/2,○山﨑福,vs.DeNA
6/3,○田嶋,vs.広島
6/4,○山本,vs.広島
6/5,○宮城,vs.広島
6/6,,
6/7,○山岡,vs.ヤクルト
6/8,－ワゲスパック,vs.ヤクルト
6/9,●増井,vs.ヤクルト
6/10,●山﨑福,vs.阪神
6/11,－山本,vs.阪神
6/12,●宮城,vs.阪神
6/13,,
6/14,,
6/15,,
6/16,,
6/17,●山岡,vs.西武
6/18,○山本,vs.西武
6/19,●山﨑福,vs.西武
6/20,,
6/21,○宮城,vs.ソフトバンク
6/22,○田嶋,vs.ソフトバンク
6/23,,
6/24,○山岡,vs.ロッテ
6/25,○山本,vs.ロッテ
6/26,－山﨑福,vs.ロッテ
6/27,,
6/28,●宮城,vs.楽天
6/29,○田嶋,vs.楽天
6/30,,
7/1,●山岡,vs.日本ハム
7/2,●山本,vs.日本ハム
7/3,－山﨑福,vs.日本ハム
7/4,,
7/5,－宮城,vs.西武
7/6,－ワゲスパック,vs.西武
7/7,○椋木,vs.西武
7/8,●山岡,vs.ロッテ
7/9,○山本,vs.ロッテ
7/10,○田嶋,vs.ロッテ
7/11,,
7/12,○ワゲスパック,vs.ソフトバンク
7/13,●宮城,vs.ソフトバンク
7/14,○山﨑福,vs.ソフトバンク
7/15,,
7/16,●山本,vs.楽天
7/17,○田嶋,vs.楽天
7/18,－ワゲスパック,vs.楽天
7/19,○山岡,vs.日本ハム
7/20,○椋木,vs.日本ハム
7/21,－竹安,vs.日本ハム
7/22,－宮城,vs.ソフトバンク
7/23,○山本,vs.ソフトバンク
7/24,－田嶋,vs.ソフトバンク
7/25,,
7/26,,
7/27,,
7/28,,
7/29,－山﨑福,vs.ロッテ
7/30,－東,vs.ロッテ
7/31,○田嶋,vs.ロッテ
8/1,,
8/2,－山本,vs.西武
8/3,●宮城,vs.西武
8/4,－山﨑福,vs.西武
8/5,○竹安,vs.日本ハム
8/6,○東,vs.日本ハム
8/7,●中村,vs.日本ハム
8/8,,
8/9,○田嶋,vs.楽天
8/10,－山本,vs.楽天
8/11,○宮城,vs.楽天
8/12,○竹安,vs.ソフトバンク
8/13,－山﨑福,vs.ソフトバンク
8/14,○ビドル,vs.ソフトバンク
8/15,,
8/16,●山岡,vs.ロッテ
8/17, ,vs.ロッテ
8/18,,
8/19,○山本,vs.西武
8/20,○宮城,vs.西武
8/21,●椋木,vs.西武
8/22,,
8/23,－山岡,vs.日本ハム
8/24,－竹安,vs.日本ハム
8/25,,
8/26,－山本,vs.西武
8/27,○宮城,vs.西武
8/28,－山﨑颯,vs.西武
8/29,,
8/30,－山岡,vs.楽天
8/31,○田嶋,vs.楽天
9/1,●ビドル,vs.楽天
9/2,○山﨑福,vs.ロッテ
9/3,○山本,vs.ロッテ
9/4,○宮城,vs.ロッテ
9/5,,
9/6,●山岡,vs.日本ハム
