date,op_pitcher,team
3/25,○大瀬良,vs.DeNA
3/26,○森下,vs.DeNA
3/27,－遠藤,vs.DeNA
3/28,,
3/29,－九里,vs.阪神
3/30,○床田,vs.阪神
3/31,－玉村,vs.阪神
4/1,●大瀬良,vs.中日
4/2,－森下,vs.中日
4/3,●遠藤,vs.中日
4/4,,
4/5,○九里,vs.巨人
4/6,－床田,vs.巨人
4/7,○玉村,vs.巨人
4/8,－大瀬良,vs.阪神
4/9,○森下,vs.阪神
4/10,○遠藤,vs.阪神
4/11,,
4/12,－九里,vs.ヤクルト
4/13,○床田,vs.ヤクルト
4/14,,
4/15,,
4/16,○大瀬良,vs.中日
4/17,●森下,vs.中日
4/18,,
4/19,●九里,vs.巨人
4/20,－床田,vs.巨人
4/21,●遠藤,vs.巨人
4/22,○大瀬良,vs.DeNA
4/23,○森下,vs.DeNA
4/24,－玉村,vs.DeNA
4/25,,
4/26, ,vs.ヤクルト
4/27,●床田,vs.ヤクルト
4/28,－九里,vs.ヤクルト
4/29,○大瀬良,vs.中日
4/30,－森下,vs.中日
5/1,●玉村,vs.中日
5/2,,
5/3,○床田,vs.巨人
5/4,－九里,vs.巨人
5/5,○アンダーソン,vs.巨人
5/6,－大瀬良,vs.DeNA
5/7,－森下,vs.DeNA
5/8,○遠藤,vs.DeNA
5/9,,
5/10,○床田,vs.阪神
5/11,○九里,vs.阪神
5/12, ,vs.阪神
5/13, ,vs.ヤクルト
5/14,－森下,vs.ヤクルト
5/15,－アンダーソン,vs.ヤクルト
5/16,,
5/17,●遠藤,vs.巨人
5/18,●床田,vs.巨人
5/19,●九里,vs.巨人
5/20,○大瀬良,vs.中日
5/21,○森下,vs.中日
5/22,○アンダーソン,vs.中日
5/23,,
5/24,●床田,vs.ロッテ
5/25,○遠藤,vs.ロッテ
5/26,●九里,vs.ロッテ
5/27,●大瀬良,vs.ソフトバンク
5/28,●森下,vs.ソフトバンク
5/29,●アンダーソン,vs.ソフトバンク
5/30,,
5/31,○床田,vs.日本ハム
6/1,●遠藤,vs.日本ハム
6/2,○九里,vs.日本ハム
6/3,●大瀬良,vs.オリックス
6/4,●森下,vs.オリックス
6/5,－アンダーソン,vs.オリックス
6/6,,
6/7,○床田,vs.楽天
6/8,－遠藤,vs.楽天
6/9,●九里,vs.楽天
6/10,○野村,vs.西武
6/11,●森下,vs.西武
6/12,●アンダーソン,vs.西武
6/13,,
6/14,,
6/15,,
6/16,,
6/17,●大瀬良,vs.ヤクルト
6/18,●森下,vs.ヤクルト
6/19,●九里,vs.ヤクルト
6/20,,
6/21,○床田,vs.阪神
6/22,－遠藤,vs.阪神
6/23,－アンダーソン,vs.阪神
6/24,○大瀬良,vs.DeNA
6/25,○森下,vs.DeNA
6/26,－九里,vs.DeNA
6/27,,
6/28,●床田,vs.ヤクルト
6/29,●遠藤,vs.ヤクルト
6/30,－アンダーソン,vs.ヤクルト
7/1,○大瀬良,vs.巨人
7/2,－森下,vs.巨人
7/3,－九里,vs.巨人
7/4,,
7/5, ,vs.阪神
7/6,●床田,vs.阪神
7/7,○アンダーソン,vs.阪神
7/8,●大瀬良,vs.中日
7/9,○森下,vs.中日
7/10,●野村,vs.中日
7/11,,
7/12,●九里,vs.DeNA
7/13,○床田,vs.DeNA
7/14,●アンダーソン,vs.DeNA
7/15,－大瀬良,vs.巨人
7/16,○森下,vs.巨人
7/17,－野村,vs.巨人
7/18, ,vs.阪神
7/19,●床田,vs.阪神
7/20,－アンダーソン,vs.阪神
7/21,,
7/22,－大瀬良,vs.ヤクルト
7/23,○森下,vs.ヤクルト
7/24,●九里,vs.ヤクルト
7/25,,
7/26,,
7/27,,
7/28,,
7/29,●大瀬良,vs.中日
7/30,●アンダーソン,vs.中日
7/31,－野村,vs.中日
8/1,,
8/2,●森下,vs.DeNA
8/3,－床田,vs.DeNA
8/4, ,vs.DeNA
8/5,●大瀬良,vs.阪神
8/6,－アンダーソン,vs.阪神
8/7,－遠藤,vs.阪神
8/8,,
8/9,○森下,vs.ヤクルト
8/10,○九里,vs.ヤクルト
8/11,○野村,vs.ヤクルト
8/12,－大瀬良,vs.巨人
8/13,●遠藤,vs.巨人
8/14,－大道,vs.巨人
8/15,,
8/16,○森下,vs.中日
8/17,－九里,vs.中日
8/18,●野村,vs.中日
8/19,●玉村,vs.DeNA
8/20,－遠藤,vs.DeNA
8/21,●大道,vs.DeNA
8/22,,
8/23,－森下,vs.ヤクルト
8/24,●九里,vs.ヤクルト
8/25,－野村,vs.ヤクルト
8/26,－玉村,vs.巨人
8/27,－遠藤,vs.巨人
8/28,－大道,vs.巨人
8/29,,
8/30,－森下,vs.阪神
8/31,－九里,vs.阪神
9/1,●野村,vs.阪神
9/2,○大瀬良,vs.DeNA
9/3,○遠藤,vs.DeNA
9/4,○玉村,vs.DeNA
9/5,,
9/6,○九里,vs.中日
9/7,○森,vs.中日
9/8,●森下,vs.中日
9/9,●大瀬良,vs.ヤクルト
9/10,－野村,vs.ヤクルト
9/11,●遠藤,vs.巨人
9/12,,
9/13,－九里,vs.阪神
9/14,●森下,vs.阪神
9/15,,
9/16,－大瀬良,vs.DeNA
9/17,－玉村,vs.DeNA
9/18, ,vs.中日
9/19,,
9/20,－九里,vs.中日
9/21,－森下,vs.阪神
9/22,,
9/23,●大瀬良,vs.阪神
9/24,,
9/25,,
9/26,,
9/27,,
9/28,,
9/29,－森下,vs.ヤクルト
9/30,●九里,vs.ヤクルト
10/1,,
10/2,－森,vs.中日
