date,op_pitcher,team
3/25,●大野雄,vs.巨人
3/26,－勝野,vs.巨人
3/27,－柳,vs.巨人
3/28,,
3/29,●小笠原,vs.DeNA
3/30,●髙橋宏,vs.DeNA
3/31,－松葉,vs.DeNA
4/1,○大野雄,vs.広島
4/2,－笠原,vs.広島
4/3,○柳,vs.広島
4/4,,
4/5,－勝野,vs.ヤクルト
4/6,●福谷,vs.ヤクルト
4/7,○髙橋宏,vs.ヤクルト
4/8, ,vs.DeNA
4/9,,
4/10,,
4/11,,
4/12,－大野雄,vs.阪神
4/13,－勝野,vs.阪神
4/14,○柳,vs.阪神
4/15,,
4/16,●岡野,vs.広島
4/17,○福谷,vs.広島
4/18,,
4/19,●大野雄,vs.ヤクルト
4/20,○髙橋宏,vs.ヤクルト
4/21,,
4/22,●柳,vs.巨人
4/23,●松葉,vs.巨人
4/24,－福谷,vs.巨人
4/25,,
4/26, ,vs.阪神
4/27,●勝野,vs.阪神
4/28,●大野雄,vs.阪神
4/29,●髙橋宏,vs.広島
4/30,－松葉,vs.広島
5/1,○柳,vs.広島
5/2,,
5/3,○小笠原,vs.DeNA
5/4,●岡田,vs.DeNA
5/5,●福谷,vs.DeNA
5/6,○大野雄,vs.阪神
5/7,○松葉,vs.阪神
5/8,－柳,vs.阪神
5/9,,
5/10,○小笠原,vs.ヤクルト
5/11,○岡野,vs.ヤクルト
5/12,●上田,vs.ヤクルト
5/13,－大野雄,vs.巨人
5/14,－髙橋宏,vs.巨人
5/15,○柳,vs.巨人
5/16,,
5/17,●小笠原,vs.DeNA
5/18,－松葉,vs.DeNA
5/19,,
5/20,●大野雄,vs.広島
5/21,●岡野,vs.広島
5/22,●柳,vs.広島
5/23,,
5/24,●小笠原,vs.西武
5/25,●髙橋宏,vs.西武
5/26,○松葉,vs.西武
5/27,○大野雄,vs.オリックス
5/28,－鈴木,vs.オリックス
5/29,●柳,vs.オリックス
5/30,,
5/31,○小笠原,vs.楽天
6/1,●上田,vs.楽天
6/2,○松葉,vs.楽天
6/3,●大野雄,vs.ソフトバンク
6/4,－髙橋宏,vs.ソフトバンク
6/5,○柳,vs.ソフトバンク
6/6,,
6/7,●小笠原,vs.ロッテ
6/8,●鈴木,vs.ロッテ
6/9,●松葉,vs.ロッテ
6/10,－大野雄,vs.日本ハム
6/11,●岡田,vs.日本ハム
6/12,●柳,vs.日本ハム
6/13,,
6/14,,
6/15,,
6/16,,
6/17,○大野雄,vs.巨人
6/18,－髙橋宏,vs.巨人
6/19,●柳,vs.巨人
6/20,,
6/21,－小笠原,vs.ヤクルト
6/22,－松葉,vs.ヤクルト
6/23,●岡野,vs.ヤクルト
6/24,－大野雄,vs.阪神
6/25,●福谷,vs.阪神
6/26,－柳,vs.阪神
6/27,,
6/28,●小笠原,vs.巨人
6/29,－髙橋宏,vs.巨人
6/30,,
7/1,－藤嶋,vs.阪神
7/2,●松葉,vs.阪神
7/3,●柳,vs.阪神
7/4,,
7/5, ,vs.DeNA
7/6,●小笠原,vs.DeNA
7/7,－髙橋宏,vs.DeNA
7/8,○松葉,vs.広島
7/9,●大野雄,vs.広島
7/10,○柳,vs.広島
7/11,,
7/12, ,vs.ヤクルト
7/13,－小笠原,vs.ヤクルト
7/14,○笠原,vs.ヤクルト
7/15,●上田,vs.阪神
7/16,－大野雄,vs.阪神
7/17,●柳,vs.阪神
7/18,●髙橋宏,vs.DeNA
7/19,○小笠原,vs.DeNA
7/20,●笠原,vs.DeNA
7/21,,
7/22,,
7/23,,
7/24,,
7/25,,
7/26,,
7/27,,
7/28,,
7/29,○髙橋宏,vs.広島
7/30,○小笠原,vs.広島
7/31,－松葉,vs.広島
8/1,,
8/2,●柳,vs.ヤクルト
8/3,●笠原,vs.ヤクルト
8/4, ,vs.ヤクルト
8/5,●大野雄,vs.DeNA
8/6,－小笠原,vs.DeNA
