date,op_pitcher,team
3/25,●則本,vs.ロッテ
3/26, ,vs.ロッテ
3/27,－岸,vs.ロッテ
3/28,,
3/29,○田中将,vs.オリックス
3/30,○早川,vs.オリックス
3/31,－瀧中,vs.オリックス
4/1,●涌井,vs.ソフトバンク
4/2, ,vs.ソフトバンク
4/3,,
4/4,,
4/5,○田中将,vs.西武
4/6,○岸,vs.西武
4/7,,
4/8,○早川,vs.日本ハム
4/9,○涌井,vs.日本ハム
4/10,－瀧中,vs.日本ハム
4/11,,
4/12,,
4/13,,
4/14,,
4/15,,
4/16,－涌井,vs.ソフトバンク
4/17,○瀧中,vs.ソフトバンク
4/18,,
4/19,●田中将,vs.日本ハム
4/20,○岸,vs.日本ハム
4/21,－高田孝,vs.日本ハム
4/22,●早川,vs.西武
4/23,○涌井,vs.西武
4/24,●瀧中,vs.西武
4/25,,
4/26,－田中将,vs.ロッテ
4/27,－岸,vs.ロッテ
4/28,○藤井,vs.ロッテ
4/29, ,vs.ソフトバンク
4/30,－早川,vs.ソフトバンク
5/1,○則本,vs.ソフトバンク
5/2,,
5/3,○田中将,vs.日本ハム
5/4,○涌井,vs.日本ハム
5/5,○岸,vs.日本ハム
5/6,－瀧中,vs.オリックス
5/7,○早川,vs.オリックス
5/8,－則本,vs.オリックス
5/9,,
5/10,○田中将,vs.ロッテ
5/11,●藤井,vs.ロッテ
5/12,●岸,vs.ロッテ
5/13,●瀧中,vs.西武
5/14,－早川,vs.西武
5/15,○則本,vs.西武
5/16,,
5/17,●田中将,vs.ロッテ
5/18,－涌井,vs.ロッテ
5/19,○岸,vs.ロッテ
5/20,●瀧中,vs.オリックス
5/21,●早川,vs.オリックス
5/22,●則本,vs.オリックス
5/23,,
5/24,●田中将,vs.阪神
5/25,○辛島,vs.阪神
5/26,－岸,vs.阪神
5/27,●瀧中,vs.ヤクルト
5/28,●早川,vs.ヤクルト
5/29,○則本,vs.ヤクルト
5/30,,
5/31,●田中将,vs.中日
6/1,○辛島,vs.中日
6/2,●岸,vs.中日
6/3,●瀧中,vs.DeNA
6/4,－早川,vs.DeNA
6/5,－則本,vs.DeNA
6/6,,
6/7,●田中将,vs.広島
6/8,－辛島,vs.広島
6/9,○岸,vs.広島
6/10,●藤井,vs.巨人
6/11,○早川,vs.巨人
6/12,○則本,vs.巨人
6/13,,
6/14,,
6/15,,
6/16,,
6/17,●田中将,vs.ソフトバンク
6/18,－辛島,vs.ソフトバンク
6/19,●早川,vs.ソフトバンク
6/20,,
6/21,○則本,vs.日本ハム
6/22,－岸,vs.日本ハム
6/23,,
6/24,●田中将,vs.西武
6/25,●辛島,vs.西武
6/26,●早川,vs.西武
6/27,,
6/28,○則本,vs.オリックス
6/29,●岸,vs.オリックス
6/30,,
7/1,－田中将,vs.ロッテ
7/2,－辛島,vs.ロッテ
7/3,○早川,vs.ロッテ
7/4,,
7/5,●則本,vs.ソフトバンク
7/6,,
7/7,○岸,vs.ソフトバンク
7/8,－松井友,vs.西武
7/9,－辛島,vs.西武
7/10,●早川,vs.西武
7/11,,
7/12,,
7/13,●則本,vs.日本ハム
7/14,●岸,vs.日本ハム
7/15,,
7/16,○田中将,vs.オリックス
7/17,●辛島,vs.オリックス
7/18,－藤平,vs.オリックス
7/19,,
7/20,○瀧中,vs.ソフトバンク
7/21,●岸,vs.ソフトバンク
7/22,●則本,vs.西武
7/23,－田中将,vs.西武
7/24,○辛島,vs.西武
7/25,,
7/26,,
7/27,,
7/28,,
7/29,●瀧中,vs.日本ハム
7/30,○田中将,vs.日本ハム
7/31,－藤平,vs.日本ハム
8/1,,
8/2,●則本,vs.ロッテ
8/3,－辛島,vs.ロッテ
8/4,○岸,vs.ロッテ
8/5,●瀧中,vs.ソフトバンク
8/6,●田中将,vs.ソフトバンク
8/7,－藤井,vs.ソフトバンク
8/8,,
8/9,●則本,vs.オリックス
8/10,－辛島,vs.オリックス
8/11,●弓削,vs.オリックス
8/12,●岸,vs.西武
8/13,●田中将,vs.西武
8/14,－藤平,vs.西武
8/15,,
8/16,○則本,vs.日本ハム
8/17,○辛島,vs.日本ハム
8/18,－釜田,vs.日本ハム
8/19,●岸,vs.ロッテ
8/20,○田中将,vs.ロッテ
8/21,○藤平,vs.ロッテ
8/22,,
8/23,●則本,vs.ソフトバンク
8/24,－辛島,vs.ソフトバンク
8/25,－釜田,vs.ソフトバンク
8/26,●岸,vs.ロッテ
8/27,○田中将,vs.ロッテ
8/28,●早川,vs.ロッテ
8/29,,
8/30,－則本,vs.オリックス
8/31,●辛島,vs.オリックス
9/1,－藤平,vs.オリックス
9/2,●岸,vs.日本ハム
9/3,－田中将,vs.日本ハム
9/4,●早川,vs.日本ハム
9/5,,
9/6,●瀧中,vs.ソフトバンク
9/7,○辛島,vs.ソフトバンク
9/8,○涌井,vs.ソフトバンク
9/9,,
9/10,●田中将,vs.ロッテ
9/11,○岸,vs.ロッテ
9/12,○則本,vs.オリックス
9/13,－早川,vs.オリックス
9/14,,
9/15,●辛島,vs.ソフトバンク
9/16,●涌井,vs.ソフトバンク
9/17,○田中将,vs.西武
9/18,○則本,vs.西武
9/19,－早川,vs.西武
9/20,●瀧中,vs.西武
9/21,,
9/22,,
9/23,－涌井,vs.日本ハム
9/24,●田中将,vs.オリックス
9/25,○辛島,vs.日本ハム
9/26,●早川,vs.日本ハム
9/27,○則本,vs.オリックス
9/28,●岸,vs.西武
9/29,－瀧中,vs.ソフトバンク
9/30,●涌井,vs.ソフトバンク
10/1,,
10/2,●田中将,vs.オリックス
