date,op_pitcher,team
3/25,○菅野,vs.中日
3/26,－山﨑伊,vs.中日
3/27,－赤星,vs.中日
3/28,,
3/29,○戸郷,vs.ヤクルト
3/30,○メルセデス,vs.ヤクルト
3/31,○堀田,vs.ヤクルト
4/1,○菅野,vs.阪神
4/2,－山﨑伊,vs.阪神
4/3,○赤星,vs.阪神
4/4,,
4/5,●戸郷,vs.広島
4/6,○メルセデス,vs.広島
4/7,●堀田,vs.広島
4/8,●菅野,vs.ヤクルト
4/9,－シューメーカー,vs.ヤクルト
4/10,●赤星,vs.ヤクルト
4/11,,
4/12,○戸郷,vs.DeNA
4/13,○メルセデス,vs.DeNA
4/14,,
4/15,●菅野,vs.阪神
4/16,●シューメーカー,vs.阪神
4/17,○赤星,vs.阪神
4/18,,
4/19,○戸郷,vs.広島
4/20,－メルセデス,vs.広島
4/21,－堀田,vs.広島
4/22,○菅野,vs.中日
4/23,○シューメーカー,vs.中日
4/24,－赤星,vs.中日
4/25,,
4/26,●戸郷,vs.DeNA
4/27,○メルセデス,vs.DeNA
4/28,○山﨑伊,vs.DeNA
4/29,●菅野,vs.阪神
4/30,－シューメーカー,vs.阪神
5/1,●髙橋,vs.阪神
5/2,,
5/3,●赤星,vs.広島
5/4,○戸郷,vs.広島
5/5,●メルセデス,vs.広島
5/6,●堀田,vs.ヤクルト
5/7,●シューメーカー,vs.ヤクルト
5/8,－髙橋,vs.ヤクルト
5/9,,
5/10,●山﨑伊,vs.DeNA
5/11,,
5/12,○菅野,vs.DeNA
5/13,○戸郷,vs.中日
5/14,－シューメーカー,vs.中日
5/15,●髙橋,vs.中日
5/16,,
5/17,－メルセデス,vs.広島
5/18,○山﨑伊,vs.広島
5/19,○菅野,vs.広島
5/20,－戸郷,vs.阪神
5/21,●シューメーカー,vs.阪神
5/22,●髙橋,vs.阪神
5/23,,
5/24,－メルセデス,vs.オリックス
5/25,－山﨑伊,vs.オリックス
5/26,●菅野,vs.オリックス
5/27,●戸郷,vs.日本ハム
5/28,○シューメーカー,vs.日本ハム
5/29,●横川,vs.日本ハム
5/30,,
5/31,－アンドリース,vs.ソフトバンク
6/1,●赤星,vs.ソフトバンク
6/2,○菅野,vs.ソフトバンク
6/3,○戸郷,vs.ロッテ
6/4,○メルセデス,vs.ロッテ
6/5,●山﨑伊,vs.ロッテ
6/6,,
6/7,－アンドリース,vs.西武
6/8,●シューメーカー,vs.西武
6/9,○赤星,vs.西武
6/10,○戸郷,vs.楽天
6/11,●メルセデス,vs.楽天
6/12,●山﨑伊,vs.楽天
6/13,,
6/14,,
6/15,,
6/16,,
6/17,－菅野,vs.中日
6/18,－アンドリース,vs.中日
6/19,○シューメーカー,vs.中日
6/20,,
6/21,－戸郷,vs.DeNA
6/22,－メルセデス,vs.DeNA
6/23,●赤星,vs.DeNA
6/24,●菅野,vs.ヤクルト
6/25,○シューメーカー,vs.ヤクルト
6/26,－戸郷,vs.ヤクルト
6/27,,
6/28,－髙橋,vs.中日
6/29,－山﨑伊,vs.中日
6/30,,
7/1,●シューメーカー,vs.広島
7/2,－菅野,vs.広島
7/3,－堀田,vs.広島
7/4,,
7/5,○戸郷,vs.ヤクルト
7/6,－メルセデス,vs.ヤクルト
7/7,●シューメーカー,vs.ヤクルト
7/8,－山﨑伊,vs.DeNA
7/9,●アンドリース,vs.DeNA
7/10,－菅野,vs.DeNA
7/11,,
7/12,○戸郷,vs.阪神
7/13,●メルセデス,vs.阪神
7/14,●シューメーカー,vs.阪神
7/15,－山﨑伊,vs.広島
7/16,●アンドリース,vs.広島
7/17,●髙橋,vs.広島
7/18,－菅野,vs.ヤクルト
7/19,●戸郷,vs.ヤクルト
7/20,－メルセデス,vs.ヤクルト
7/21,,
7/22,,
