date,op_pitcher,team
3/25,－千賀,vs.日本ハム
3/26,○東浜,vs.日本ハム
3/27,－杉山,vs.日本ハム
3/28,,
3/29,－石川,vs.ロッテ
3/30,－和田,vs.ロッテ
3/31,○大関,vs.ロッテ
4/1,○千賀,vs.楽天
4/2, ,vs.楽天
4/3,,
4/4,,
4/5,－石川,vs.オリックス
4/6,－和田,vs.オリックス
4/7,○レイ,vs.オリックス
4/8,○千賀,vs.西武
4/9,－東浜,vs.西武
4/10,●大関,vs.西武
4/11,,
4/12,－田上,vs.ロッテ
4/13,,
4/14,○千賀,vs.ロッテ
4/15,,
4/16,－レイ,vs.楽天
4/17,●東浜,vs.楽天
4/18,,
4/19,○石川,vs.オリックス
4/20,●和田,vs.オリックス
4/21,－千賀,vs.オリックス
4/22,●レイ,vs.日本ハム
4/23,－田上,vs.日本ハム
4/24,○東浜,vs.日本ハム
4/25,,
4/26,○石川,vs.西武
4/27,●杉山,vs.西武
4/28,●レイ,vs.西武
4/29, ,vs.楽天
4/30,－千賀,vs.楽天
5/1,●大関,vs.楽天
5/2,,
5/3,－石川,vs.オリックス
5/4,○東浜,vs.オリックス
5/5,－和田,vs.オリックス
5/6,－千賀,vs.ロッテ
5/7,○大関,vs.ロッテ
5/8,○杉山,vs.ロッテ
5/9,,
5/10, ,vs.西武
5/11,○東浜,vs.西武
5/12,,
5/13,●千賀,vs.日本ハム
5/14,●大関,vs.日本ハム
5/15,●石川,vs.日本ハム
5/16,,
5/17,－東浜,vs.西武
5/18,－杉山,vs.西武
5/19,,
5/20,●千賀,vs.ロッテ
5/21,－大関,vs.ロッテ
5/22,○和田,vs.ロッテ
5/23,,
5/24,－石川,vs.DeNA
5/25,－東浜,vs.DeNA
5/26,●杉山,vs.DeNA
5/27,○レイ,vs.広島
5/28,○大関,vs.広島
5/29,－和田,vs.広島
5/30,,
5/31,－石川,vs.巨人
6/1,○東浜,vs.巨人
6/2,●レイ,vs.巨人
6/3,○千賀,vs.中日
6/4,－大関,vs.中日
6/5,●杉山,vs.中日
6/6,,
6/7,●石川,vs.阪神
6/8,○東浜,vs.阪神
6/9,○レイ,vs.阪神
6/10,●千賀,vs.ヤクルト
6/11,－大関,vs.ヤクルト
6/12,－和田,vs.ヤクルト
6/13,,
6/14,,
6/15,,
6/16,,
6/17,○千賀,vs.楽天
6/18,－大関,vs.楽天
6/19,○和田,vs.楽天
6/20,,
6/21,●石川,vs.オリックス
6/22,●東浜,vs.オリックス
6/23,,
6/24,○千賀,vs.日本ハム
6/25,○大関,vs.日本ハム
6/26,－レイ,vs.日本ハム
6/27,●大竹耕,vs.ロッテ
6/28,,
6/29,,
6/30,,
7/1,,
7/2,－東浜,vs.西武
7/3,○石川,vs.西武
7/4,,
7/5,○大関,vs.楽天
7/6,,
7/7,●大竹耕,vs.楽天
7/8,－レイ,vs.日本ハム
7/9,●東浜,vs.日本ハム
7/10,●石川,vs.日本ハム
7/11,,
7/12,●大関,vs.オリックス
7/13,○千賀,vs.オリックス
7/14,－レイ,vs.オリックス
7/15,,
7/16, ,vs.ロッテ
7/17,－石川,vs.ロッテ
7/18,●東浜,vs.ロッテ
7/19,,
7/20,●大関,vs.楽天
7/21,○千賀,vs.楽天
7/22,－杉山,vs.オリックス
7/23,●石川,vs.オリックス
7/24,－東浜,vs.オリックス
7/25,,
7/26,,
7/27,,
7/28,,
7/29,●千賀,vs.西武
7/30,●大関,vs.西武
7/31,○和田,vs.西武
8/1,,
8/2,●石川,vs.日本ハム
8/3,●東浜,vs.日本ハム
8/4,－レイ,vs.日本ハム
8/5,－杉山,vs.楽天
8/6,○武田,vs.楽天
8/7,●和田,vs.楽天
8/8,,
8/9,○石川,vs.ロッテ
8/10,○東浜,vs.ロッテ
8/11,－レイ,vs.ロッテ
8/12,－杉山,vs.オリックス
8/13,－武田,vs.オリックス
8/14,●和田,vs.オリックス
8/15,,
8/16,●石川,vs.西武
8/17,○レイ,vs.西武
8/18,●東浜,vs.西武
8/19,○板東,vs.日本ハム
8/20,○武田,vs.日本ハム
8/21,○和田,vs.日本ハム
8/22,,
8/23,○石川,vs.楽天
8/24,－レイ,vs.楽天
8/25,●板東,vs.楽天
8/26,○東浜,vs.日本ハム
8/27,●武田,vs.日本ハム
8/28,○千賀,vs.日本ハム
8/29,－奥村,vs.ロッテ
8/30,,
8/31,●石川,vs.ロッテ
9/1,●レイ,vs.ロッテ
9/2,○東浜,vs.西武
9/3,○板東,vs.西武
9/4,●千賀,vs.西武
9/5,,
9/6,○和田,vs.楽天
9/7,●石川,vs.楽天
9/8,●レイ,vs.楽天
9/9,,
9/10,●板東,vs.オリックス
9/11,○千賀,vs.オリックス
9/12,○東浜,vs.西武
9/13,－奥村,vs.西武
9/14,○石川,vs.西武
9/15,○和田,vs.楽天
9/16,－森,vs.楽天
9/17,●板東,vs.オリックス
9/18,●千賀,vs.オリックス
9/19,－東浜,vs.オリックス
9/20,○石川,vs.日本ハム
9/21,,
9/22,,
9/23,－和田,vs.ロッテ
9/24,○板東,vs.ロッテ
9/25,○千賀,vs.ロッテ
9/26,－東浜,vs.ロッテ
9/27,●石川,vs.西武
9/28,,
9/29,－森,vs.楽天
9/30,○和田,vs.楽天
10/1,－千賀,vs.西武
10/2,－板東,vs.ロッテ
