date,op_pitcher,team
3/25,●髙橋光成,vs.オリックス
3/26,○隅田,vs.オリックス
3/27,－渡邉,vs.オリックス
3/28,,
3/29,○佐藤,vs.日本ハム
3/30,○松本,vs.日本ハム
3/31,●與座,vs.日本ハム
4/1,－髙橋光成,vs.ロッテ
4/2,●隅田,vs.ロッテ
4/3,●渡邉,vs.ロッテ
4/4,,
4/5,●佐藤,vs.楽天
4/6,●松本,vs.楽天
4/7,,
4/8,●髙橋光成,vs.ソフトバンク
4/9,－隅田,vs.ソフトバンク
4/10,○エンス,vs.ソフトバンク
4/11,,
4/12,●佐藤,vs.日本ハム
4/13,○松本,vs.日本ハム
4/14,,
4/15,○髙橋光成,vs.オリックス
4/16,●隅田,vs.オリックス
4/17,●エンス,vs.オリックス
4/18,,
4/19,○スミス,vs.ロッテ
4/20,－松本,vs.ロッテ
4/21,,
4/22,○髙橋光成,vs.楽天
4/23,●隅田,vs.楽天
4/24,－エンス,vs.楽天
4/25,,
4/26,●佐藤,vs.ソフトバンク
4/27,○松本,vs.ソフトバンク
4/28,－スミス,vs.ソフトバンク
4/29,－髙橋光成,vs.オリックス
4/30,－隅田,vs.オリックス
5/1,－エンス,vs.オリックス
5/2,,
5/3,○佐藤,vs.ロッテ
5/4,●松本,vs.ロッテ
5/5,○與座,vs.ロッテ
5/6,○髙橋光成,vs.日本ハム
5/7,－内海,vs.日本ハム
5/8,○エンス,vs.日本ハム
5/9,,
5/10, ,vs.ソフトバンク
5/11,●隅田,vs.ソフトバンク
5/12,,
5/13,○髙橋光成,vs.楽天
5/14,－佐藤,vs.楽天
5/15,●エンス,vs.楽天
5/16,,
5/17,－與座,vs.ソフトバンク
5/18,－隅田,vs.ソフトバンク
5/19,,
5/20,●髙橋光成,vs.日本ハム
5/21,●内海,vs.日本ハム
5/22,○エンス,vs.日本ハム
5/23,,
5/24,－佐藤,vs.中日
5/25,○與座,vs.中日
5/26,●隅田,vs.中日
5/27,●髙橋光成,vs.DeNA
5/28,○平井,vs.DeNA
5/29,－エンス,vs.DeNA
5/30,,
5/31,○佐藤,vs.阪神
6/1,●與座,vs.阪神
6/2,●隅田,vs.阪神
6/3,●髙橋光成,vs.ヤクルト
6/4,－平井,vs.ヤクルト
6/5,●エンス,vs.ヤクルト
6/6,,
6/7,－佐藤,vs.巨人
6/8,○與座,vs.巨人
6/9,●隅田,vs.巨人
6/10,●髙橋光成,vs.広島
6/11,－松本,vs.広島
6/12,○エンス,vs.広島
6/13,,
6/14,,
6/15,,
6/16,,
6/17,○髙橋光成,vs.オリックス
6/18,●平井,vs.オリックス
6/19,－與座,vs.オリックス
6/20,,
6/21,○松本,vs.ロッテ
6/22,●エンス,vs.ロッテ
6/23,,
6/24,○髙橋光成,vs.楽天
6/25,○平井,vs.楽天
6/26,○與座,vs.楽天
6/27,,
6/28,○松本,vs.日本ハム
6/29,○エンス,vs.日本ハム
6/30,,
7/1,,
7/2,－スミス,vs.ソフトバンク
7/3,●與座,vs.ソフトバンク
7/4,,
7/5,－松本,vs.オリックス
7/6,－平井,vs.オリックス
7/7,●今井,vs.オリックス
7/8,－髙橋光成,vs.楽天
7/9,－スミス,vs.楽天
7/10,○與座,vs.楽天
7/11,,
7/12,●松本,vs.ロッテ
7/13,○エンス,vs.ロッテ
7/14,○今井,vs.ロッテ
7/15,,
7/16,●髙橋光成,vs.日本ハム
7/17,○平井,vs.日本ハム
7/18,○與座,vs.日本ハム
7/19,－松本,vs.ロッテ
7/20,●エンス,vs.ロッテ
7/21,－今井,vs.ロッテ
7/22,○渡邉,vs.楽天
7/23,－髙橋光成,vs.楽天
7/24,●平井,vs.楽天
7/25,,
7/26,,
7/27,,
7/28,,
7/29,○今井,vs.ソフトバンク
7/30,○與座,vs.ソフトバンク
7/31,●エンス,vs.ソフトバンク
8/1,,
8/2,－髙橋光成,vs.オリックス
8/3,○平井,vs.オリックス
8/4,－松本,vs.オリックス
8/5,－今井,vs.ロッテ
8/6,－與座,vs.ロッテ
8/7,○エンス,vs.ロッテ
8/8,,
8/9,－髙橋光成,vs.日本ハム
8/10,－平井,vs.日本ハム
8/11,●松本,vs.日本ハム
8/12,○今井,vs.楽天
8/13,○與座,vs.楽天
8/14,－エンス,vs.楽天
8/15,,
8/16,○髙橋光成,vs.ソフトバンク
8/17,●平井,vs.ソフトバンク
8/18,○松本,vs.ソフトバンク
8/19,－今井,vs.オリックス
8/20,●與座,vs.オリックス
8/21,○エンス,vs.オリックス
8/22,,
8/23,○髙橋光成,vs.ロッテ
8/24,－平井,vs.ロッテ
8/25,－松本,vs.ロッテ
8/26,○今井,vs.オリックス
8/27,●與座,vs.オリックス
8/28,○エンス,vs.オリックス
8/29,,
8/30,○髙橋光成,vs.日本ハム
8/31,－隅田,vs.日本ハム
9/1, ,vs.日本ハム
9/2,●松本,vs.ソフトバンク
9/3,●與座,vs.ソフトバンク
9/4,○エンス,vs.ソフトバンク
9/5,,
9/6,○髙橋光成,vs.ロッテ
9/7,●隅田,vs.ロッテ
9/8,●平井,vs.オリックス
9/9,,
9/10,－松本,vs.日本ハム
9/11,○與座,vs.日本ハム
9/12,●エンス,vs.ソフトバンク
9/13,●髙橋光成,vs.ソフトバンク
9/14,●隅田,vs.ソフトバンク
9/15,●平井,vs.ロッテ
9/16,,
9/17,●松本,vs.楽天
9/18,●與座,vs.楽天
9/19,－内海,vs.楽天
9/20,○髙橋光成,vs.楽天
9/21,,
9/22,,
9/23,,
9/24,○松本,vs.日本ハム
9/25,,
9/26,,
9/27,○髙橋光成,vs.ソフトバンク
9/28,○今井,vs.楽天
9/29,,
9/30,,
10/1,－松本,vs.ソフトバンク
10/2,－エンス,vs.日本ハム
