date,op_pitcher,team
3/25,○石川,vs.楽天
3/26, ,vs.楽天
3/27,－佐々木朗,vs.楽天
3/28,,
3/29,－ロメロ,vs.ソフトバンク
3/30,－小島,vs.ソフトバンク
3/31,●美馬,vs.ソフトバンク
4/1,－石川,vs.西武
4/2,○二木,vs.西武
4/3,○佐々木朗,vs.西武
4/4,,
4/5,○ロメロ,vs.日本ハム
4/6,－本前,vs.日本ハム
4/7,,
4/8,○石川,vs.オリックス
4/9,●小島,vs.オリックス
4/10,○佐々木朗,vs.オリックス
4/11,,
4/12,－ロメロ,vs.ソフトバンク
4/13,,
4/14,●二木,vs.ソフトバンク
4/15, ,vs.日本ハム
4/16,●石川,vs.日本ハム
4/17,－佐々木朗,vs.日本ハム
4/18,,
4/19,●小島,vs.西武
4/20,●美馬,vs.西武
4/21,,
4/22,○ロメロ,vs.オリックス
4/23,－石川,vs.オリックス
4/24,○佐々木朗,vs.オリックス
4/25,,
4/26,－小島,vs.楽天
4/27,－本前,vs.楽天
4/28,●美馬,vs.楽天
4/29, ,vs.日本ハム
4/30,○石川,vs.日本ハム
5/1,●ロメロ,vs.日本ハム
5/2,,
5/3,●小島,vs.西武
5/4,○河村,vs.西武
5/5,●美馬,vs.西武
5/6,－佐々木朗,vs.ソフトバンク
5/7,●石川,vs.ソフトバンク
5/8,●ロメロ,vs.ソフトバンク
5/9,,
5/10,●小島,vs.楽天
5/11,○河村,vs.楽天
5/12,○美馬,vs.楽天
5/13,○佐々木朗,vs.オリックス
5/14,●佐藤奨,vs.オリックス
5/15,●ロメロ,vs.オリックス
5/16,,
5/17,－石川,vs.楽天
5/18,－小島,vs.楽天
5/19,－河村,vs.楽天
5/20,○佐々木朗,vs.ソフトバンク
5/21,－美馬,vs.ソフトバンク
5/22,●ロメロ,vs.ソフトバンク
5/23,,
5/24,○石川,vs.広島
5/25,●小島,vs.広島
5/26,－河村,vs.広島
5/27,－佐々木朗,vs.阪神
5/28,●佐藤奨,vs.阪神
5/29,○ロメロ,vs.阪神
5/30,,
5/31,●石川,vs.ヤクルト
6/1,○美馬,vs.ヤクルト
6/2,－小島,vs.ヤクルト
6/3,●佐々木朗,vs.巨人
6/4,●佐藤奨,vs.巨人
6/5,○本前,vs.巨人
6/6,,
6/7,○石川,vs.中日
6/8,○美馬,vs.中日
6/9,○ロメロ,vs.中日
6/10,○小島,vs.DeNA
6/11,－佐々木朗,vs.DeNA
6/12,○佐藤奨,vs.DeNA
6/13,,
6/14,,
6/15,,
6/16,,
6/17,－二木,vs.日本ハム
6/18,○ロメロ,vs.日本ハム
6/19,○美馬,vs.日本ハム
6/20,,
6/21,●小島,vs.西武
6/22,○佐々木朗,vs.西武
6/23,,
6/24,●本前,vs.オリックス
6/25,●佐藤奨,vs.オリックス
6/26,－美馬,vs.オリックス
6/27,○ロメロ,vs.ソフトバンク
6/28,,
6/29,,
6/30,,
7/1,－佐々木朗,vs.楽天
7/2,－小島,vs.楽天
7/3,●美馬,vs.楽天
7/4,,
7/5,－本前,vs.日本ハム
7/6,○ロメロ,vs.日本ハム
7/7,●佐藤奨,vs.日本ハム
7/8,○二木,vs.オリックス
7/9,●小島,vs.オリックス
7/10,●美馬,vs.オリックス
7/11,,
