date,op_pitcher,team
3/25,－小川,vs.阪神
3/26,○高橋,vs.阪神
3/27,○高梨,vs.阪神
3/28,,
3/29,－奥川,vs.巨人
3/30,●石川,vs.巨人
3/31,●原,vs.巨人
4/1,●小川,vs.DeNA
4/2,－高橋,vs.DeNA
4/3, ,vs.DeNA
4/4,,
4/5,－サイスニード,vs.中日
4/6,○高梨,vs.中日
4/7,●石川,vs.中日
4/8,○原,vs.巨人
4/9,－小川,vs.巨人
4/10,○高橋,vs.巨人
4/11,,
4/12,－サイスニード,vs.広島
4/13,●高梨,vs.広島
4/14,,
4/15,○金久保,vs.DeNA
4/16,●原,vs.DeNA
4/17,－高橋,vs.DeNA
4/18,,
4/19,○サイスニード,vs.中日
4/20,●小川,vs.中日
4/21,,
4/22,●高梨,vs.阪神
4/23,○石川,vs.阪神
4/24,●金久保,vs.阪神
4/25,,
4/26, ,vs.広島
4/27,○原,vs.広島
4/28,－高橋,vs.広島
4/29, ,vs.DeNA
4/30,○サイスニード,vs.DeNA
5/1, ,vs.DeNA
5/2,,
5/3,○小川,vs.阪神
5/4,○石川,vs.阪神
5/5,－高梨,vs.阪神
5/6,○原,vs.巨人
5/7,○高橋,vs.巨人
5/8,－サイスニード,vs.巨人
5/9,,
5/10,●小川,vs.中日
5/11,●吉田大喜,vs.中日
5/12,○高梨,vs.中日
5/13, ,vs.広島
5/14,－原,vs.広島
5/15,－石川,vs.広島
5/16,,
5/17,－サイスニード,vs.阪神
5/18,●高橋,vs.阪神
5/19,○小川,vs.阪神
5/20,●高梨,vs.DeNA
5/21,○原,vs.DeNA
5/22,－吉田大喜,vs.DeNA
5/23,,
5/24,－サイスニード,vs.日本ハム
5/25,－スアレス,vs.日本ハム
5/26,－小川,vs.日本ハム
5/27,○高橋,vs.楽天
5/28,－高梨,vs.楽天
5/29,●石川,vs.楽天
5/30,,
5/31,○サイスニード,vs.ロッテ
6/1,●原,vs.ロッテ
6/2,－スアレス,vs.ロッテ
6/3,○小川,vs.西武
6/4,－高橋,vs.西武
6/5,○高梨,vs.西武
6/6,,
6/7,●サイスニード,vs.オリックス
6/8,－原,vs.オリックス
6/9,○石川,vs.オリックス
6/10,○小川,vs.ソフトバンク
6/11,－スアレス,vs.ソフトバンク
6/12,○高橋,vs.ソフトバンク
6/13,,
6/14,,
6/15,,
6/16,,
6/17,○サイスニード,vs.広島
6/18,－スアレス,vs.広島
6/19,○石川,vs.広島
6/20,,
6/21,－小川,vs.中日
6/22,○原,vs.中日
6/23,○高梨,vs.中日
6/24,○高橋,vs.巨人
6/25,●サイスニード,vs.巨人
6/26,－スアレス,vs.巨人
6/27,,
6/28,○小川,vs.広島
6/29,○原,vs.広島
6/30,－石川,vs.広島
7/1,●高梨,vs.DeNA
7/2,－サイスニード,vs.DeNA
7/3,○小澤,vs.DeNA
7/4,,
7/5,●高橋,vs.巨人
7/6,－小川,vs.巨人
7/7,○石川,vs.巨人
7/8,●高梨,vs.阪神
7/9, ,vs.阪神
7/10, ,vs.阪神
7/11,,
7/12, ,vs.中日
7/13,－高橋,vs.中日
7/14,●小川,vs.中日
7/15, ,vs.DeNA
7/16,－原,vs.DeNA
7/17,●サイスニード,vs.DeNA
7/18,－石川,vs.巨人
7/19,○小澤,vs.巨人
7/20,－高橋,vs.巨人
7/21,,
7/22,－小川,vs.広島
7/23,●原,vs.広島
7/24,○サイスニード,vs.広島
7/25,,
7/26,,
7/27,,
7/28,,
7/29,●小川,vs.阪神
7/30,●小澤,vs.阪神
7/31,－原,vs.阪神
8/1,,
8/2,○高橋,vs.中日
8/3,○サイスニード,vs.中日
8/4, ,vs.中日
8/5,●小川,vs.巨人
8/6,－小澤,vs.巨人
8/7,－原,vs.巨人
8/8,,
8/9,●高梨,vs.広島
8/10,●星,vs.広島
8/11,●サイスニード,vs.広島
8/12,●小川,vs.DeNA
8/13, ,vs.DeNA
8/14,－小澤,vs.DeNA
8/15,,
8/16,○高梨,vs.阪神
8/17,○高橋,vs.阪神
8/18,●サイスニード,vs.阪神
8/19,－小川,vs.中日
8/20,○原,vs.中日
8/21,－小澤,vs.中日
8/22,,
8/23,－石川,vs.広島
8/24,○高梨,vs.広島
8/25,－高橋,vs.広島
8/26,○サイスニード,vs.DeNA
8/27,○小川,vs.DeNA
8/28,－原,vs.DeNA
8/29,,
8/30,－小澤,vs.巨人
8/31,－高梨,vs.巨人
9/1,,
9/2,○サイスニード,vs.中日
9/3,●小川,vs.中日
9/4,●原,vs.中日
9/5,,
9/6,－石川,vs.阪神
9/7,●高梨,vs.阪神
9/8,,
9/9,－小澤,vs.広島
9/10,●サイスニード,vs.広島
9/11,○小川,vs.DeNA
9/12,●原,vs.DeNA
9/13,●石川,vs.巨人
9/14,,
9/15,,
9/16,●高梨,vs.中日
9/17,－サイスニード,vs.中日
9/18,○小川,vs.阪神
9/19,,
9/20,●原,vs.巨人
9/21,○石川,vs.中日
9/22,●山下,vs.中日
9/23,●大西,vs.DeNA
9/24,○サイスニード,vs.DeNA
9/25,－小川,vs.DeNA
9/26,,
9/27,●高梨,vs.阪神
9/28,－市川,vs.阪神
9/29,－石川,vs.広島
9/30,○山下,vs.広島
10/1,,
10/2,－サイスニード,vs.阪神
10/3,－小川,vs.DeNA
