date,op_pitcher,team
3/25,－藤浪,vs.ヤクルト
3/26,●小川,vs.ヤクルト
3/27,●桐敷,vs.ヤクルト
3/28,,
3/29,－西勇,vs.広島
3/30,●伊藤将,vs.広島
3/31,●秋山,vs.広島
4/1,●藤浪,vs.巨人
4/2,●小川,vs.巨人
4/3,●ガンケル,vs.巨人
4/4,,
4/5,○西勇,vs.DeNA
4/6,－伊藤将,vs.DeNA
4/7, ,vs.DeNA
4/8,－藤浪,vs.広島
4/9,●秋山,vs.広島
4/10,●ガンケル,vs.広島
4/11,,
4/12,－西勇,vs.中日
4/13,－小川,vs.中日
4/14,●桐敷,vs.中日
4/15,○青柳,vs.巨人
4/16,○ウィルカーソン,vs.巨人
4/17,●ガンケル,vs.巨人
4/18,,
4/19,●西勇,vs.DeNA
4/20,－小川,vs.DeNA
4/21,－齋藤,vs.DeNA
4/22,○青柳,vs.ヤクルト
4/23,●ウィルカーソン,vs.ヤクルト
4/24,○ガンケル,vs.ヤクルト
4/25,,
4/26, ,vs.中日
4/27,○西勇,vs.中日
4/28,○秋山,vs.中日
4/29,○青柳,vs.巨人
4/30,－ウィルカーソン,vs.巨人
5/1,○西純,vs.巨人
5/2,,
5/3,●西勇,vs.ヤクルト
5/4,●秋山,vs.ヤクルト
5/5,－ガンケル,vs.ヤクルト
5/6,●青柳,vs.中日
5/7,●ウィルカーソン,vs.中日
5/8,－西純,vs.中日
5/9,,
5/10,●西勇,vs.広島
5/11,－秋山,vs.広島
5/12, ,vs.広島
5/13, ,vs.DeNA
5/14,○青柳,vs.DeNA
5/15,○ウィルカーソン,vs.DeNA
5/16,,
5/17,－西勇,vs.ヤクルト
5/18,○西純,vs.ヤクルト
5/19,●ガンケル,vs.ヤクルト
5/20,－青柳,vs.巨人
5/21,○ウィルカーソン,vs.巨人
5/22,○伊藤将,vs.巨人
5/23,,
5/24,○西勇,vs.楽天
5/25,●西純,vs.楽天
5/26,－ガンケル,vs.楽天
5/27,○ウィルカーソン,vs.ロッテ
5/28,○青柳,vs.ロッテ
5/29,●伊藤将,vs.ロッテ
5/30,,
5/31,●西勇,vs.西武
6/1,○西純,vs.西武
6/2,○ガンケル,vs.西武
6/3,－ウィルカーソン,vs.日本ハム
6/4,○青柳,vs.日本ハム
6/5,○伊藤将,vs.日本ハム
6/6,,
6/7,○西勇,vs.ソフトバンク
6/8,●西純,vs.ソフトバンク
6/9,●ウィルカーソン,vs.ソフトバンク
6/10,○青柳,vs.オリックス
6/11,－伊藤将,vs.オリックス
6/12,○ガンケル,vs.オリックス
6/13,,
6/14,,
6/15,,
6/16,,
6/17,○青柳,vs.DeNA
6/18,○伊藤将,vs.DeNA
6/19,－西純,vs.DeNA
6/20,,
6/21,●西勇,vs.広島
6/22,－ガンケル,vs.広島
6/23,－ウィルカーソン,vs.広島
6/24,－青柳,vs.中日
6/25,○伊藤将,vs.中日
6/26,－西純,vs.中日
6/27,,
6/28,●西勇,vs.DeNA
6/29,●ガンケル,vs.DeNA
6/30,－ウィルカーソン,vs.DeNA
7/1,－青柳,vs.中日
7/2,○伊藤将,vs.中日
7/3,○才木,vs.中日
7/4,,
7/5, ,vs.広島
7/6,○西勇,vs.広島
7/7,●桐敷,vs.広島
7/8,○青柳,vs.ヤクルト
7/9, ,vs.ヤクルト
7/10, ,vs.ヤクルト
7/11,,
7/12,●ウィルカーソン,vs.巨人
7/13,○西勇,vs.巨人
7/14,○伊藤将,vs.巨人
7/15,○青柳,vs.中日
7/16,－才木,vs.中日
7/17,○ガンケル,vs.中日
7/18, ,vs.広島
7/19,○ウィルカーソン,vs.広島
