日付,1番,2番,3番,4番,5番,6番,7番,8番,9番,勝敗,スコア,対戦相手,先発投手,責任投手,球場,開始
3月25日(金),今川 優馬,淺間 大基,石井 一成,松本 剛,ヌニエス,近藤 健介,佐藤 龍世,宇佐見 真吾,水野 達稀,●,1 - 4,ソフトバンク,北山,●杉浦,PayPayドーム,18:30
3月26日(土),アルカンタラ,王 柏融,近藤 健介,清宮 幸太郎,石井 一成,ヌニエス,淺間 大基,清水 優心,水野 達稀,●,3 - 6,ソフトバンク,堀,●河野,PayPayドーム,14:00
3月27日(日),渡邉 諒,近藤 健介,アルカンタラ,清宮 幸太郎,ヌニエス,佐藤 龍世,松本 剛,郡 拓也,万波 中正,●,4 - 6,ソフトバンク,吉田,●池田,PayPayドーム,13:00
3月29日(火),近藤 健介,松本 剛,今川 優馬,ヌニエス,石井 一成,万波 中正,アルカンタラ,水野 達稀,清水 優心,●,0 - 4,西武,上沢,●上沢,札幌ドーム,18:30
3月30日(水),淺間 大基,渡邉 諒,近藤 健介,清宮 幸太郎,石井 一成,アルカンタラ,万波 中正,宇佐見 真吾,佐藤 龍世,●,3 - 5,西武,加藤,●加藤,札幌ドーム,18:00
3月31日(木),水野 達稀,松本 剛,近藤 健介,王 柏融,ヌニエス,石井 一成,淺間 大基,宇佐見 真吾,渡邉 諒,○,6 - 2,西武,立野,○立野,札幌ドーム,18:00
4月1日(金),万波 中正,郡 拓也,淺間 大基,清宮 幸太郎,水野 達稀,今川 優馬,ヌニエス,松本 剛,アルカンタラ,●,0 - 2,オリックス,根本,●根本,京セラD大阪,18:00
4月2日(土),松本 剛,アルカンタラ,近藤 健介,王 柏融,石井 一成,ヌニエス,淺間 大基,清水 優心,今川 優馬,●,0 - 7,オリックス,伊藤,●伊藤,京セラD大阪,14:00
4月3日(日),近藤 健介,佐藤 龍世,松本 剛,郡 拓也,アルカンタラ,渡邉 諒,今川 優馬,石井 一成,万波 中正,●,2 - 4,オリックス,河野,●宮西,京セラD大阪,13:00
4月5日(火),淺間 大基,松本 剛,近藤 健介,ヌニエス,渡邉 諒,野村 佑希,アルカンタラ,石井 一成,清水 優心,●,0 - 2,ロッテ,上沢,●上沢,札幌ドーム,18:00
4月6日(水),野村 佑希,万波 中正,近藤 健介,清宮 幸太郎,今川 優馬,ヌニエス,石井 一成,宇佐見 真吾,上野 響平,○,3 - 2,ロッテ,加藤,○北山,札幌ドーム,18:00
4月8日(金),野村 佑希,近藤 健介,松本 剛,清宮 幸太郎,王 柏融,ヌニエス,アルカンタラ,宇佐見 真吾,上野 響平,●,0 - 3,楽天,伊藤,●伊藤,札幌ドーム,18:00
4月9日(土),万波 中正,淺間 大基,石井 一成,松本 剛,王 柏融,野村 佑希,アルカンタラ,郡 拓也,細川 凌平,●,5 - 8,楽天,河野,●河野,札幌ドーム,14:00
4月10日(日),淺間 大基,松本 剛,近藤 健介,清宮 幸太郎,アルカンタラ,野村 佑希,ヌニエス,宇佐見 真吾,上野 響平,○,3 - 2,楽天,上沢,○北山,札幌ドーム,14:00
4月12日(火),野村 佑希,渡邉 諒,近藤 健介,松本 剛,今川 優馬,ヌニエス,石井 一成,宇佐見 真吾,上野 響平,○,3 - 0,西武,加藤,○加藤,ベルーナドーム,18:00
